onset	duration	trial_type	stim_site
18.0287	0.02	Tactile	Left_hand
23.5043	0.02	Tactile	Left_hand
28.9783666666667	0.02	Tactile	Left_hand
34.4539	0.02	Tactile	Left_hand
39.9283333333333	0.02	Tactile	Left_hand
45.4080666666667	0.02	Tactile	Left_hand
50.8827333333333	0.02	Tactile	Left_hand
56.3595	0.02	Tactile	Left_hand
61.8373666666667	0.02	Tactile	Left_hand
67.3112666666667	0.02	Tactile	Left_hand
72.7908333333333	0.02	Tactile	Left_hand
78.2681666666667	0.02	Tactile	Left_hand
83.7448333333333	0.02	Tactile	Left_hand
89.2212	0.02	Tactile	Left_hand
94.6951333333333	0.02	Tactile	Left_hand
100.169966666667	0.02	Tactile	Left_hand
105.6456	0.02	Tactile	Left_hand
111.121066666667	0.02	Tactile	Left_hand
116.5995	0.02	Tactile	Left_hand
122.078266666667	0.02	Tactile	Left_hand
127.562333333333	0.02	Tactile	Left_hand
133.044733333333	0.02	Tactile	Left_hand
138.527666666667	0.02	Tactile	Left_hand
144.010933333333	0.02	Tactile	Left_hand
149.4988	0.02	Tactile	Left_hand
154.980466666667	0.02	Tactile	Left_hand
160.466066666667	0.02	Tactile	Left_hand
165.947733333333	0.02	Tactile	Left_hand
171.4311	0.02	Tactile	Left_hand
176.9116	0.02	Tactile	Left_hand
182.393733333333	0.02	Tactile	Left_hand
187.875066666667	0.02	Tactile	Left_hand
193.3565	0.02	Tactile	Left_hand
198.839833333333	0.02	Tactile	Left_hand
204.319866666667	0.02	Tactile	Left_hand
209.802966666667	0.02	Tactile	Left_hand
215.288966666667	0.02	Tactile	Left_hand
220.770366666667	0.02	Tactile	Left_hand
226.252533333333	0.02	Tactile	Left_hand
231.725666666667	0.02	Tactile	Left_hand
237.2097	0.02	Tactile	Left_hand
242.6904	0.02	Tactile	Left_hand
248.171833333333	0.02	Tactile	Left_hand
253.6492	0.02	Tactile	Left_hand
259.127166666667	0.02	Tactile	Left_hand
264.602633333333	0.02	Tactile	Left_hand
270.076033333333	0.02	Tactile	Left_hand
275.550466666667	0.02	Tactile	Left_hand
281.025666666667	0.02	Tactile	Left_hand
286.502166666667	0.02	Tactile	Left_hand
