name	type	units	low_cutoff	high_cutoff	sampling_frequency	status
ch01	SEEG	uV	0.3	250	1000	good
ch02	SEEG	uV	0.3	250	1000	good
ch03	SEEG	uV	0.3	250	1000	good
ch04	SEEG	uV	0.3	250	1000	good
ch05	SEEG	uV	0.3	250	1000	good
ch06	SEEG	uV	0.3	250	1000	good
ch07	SEEG	uV	0.3	250	1000	good
ch08	SEEG	uV	0.3	250	1000	good
ch09	SEEG	uV	0.3	250	1000	good
ch10	SEEG	uV	0.3	250	1000	good
ch11	SEEG	uV	0.3	250	1000	good
ch12	SEEG	uV	0.3	250	1000	good
ch13	SEEG	uV	0.3	250	1000	good
ch14	SEEG	uV	0.3	250	1000	good
ch15	SEEG	uV	0.3	250	1000	good
ch16	SEEG	uV	0.3	250	1000	good
ch17	SEEG	uV	0.3	250	1000	good
ch18	SEEG	uV	0.3	250	1000	good
ch19	SEEG	uV	0.3	250	1000	good
ch20	SEEG	uV	0.3	250	1000	good
ch21	SEEG	uV	0.3	250	1000	good
ch22	SEEG	uV	0.3	250	1000	good
ch23	SEEG	uV	0.3	250	1000	good
ch24	SEEG	uV	0.3	250	1000	good
ch25	SEEG	uV	0.3	250	1000	good
ch26	SEEG	uV	0.3	250	1000	good
ch27	SEEG	uV	0.3	250	1000	good
ch28	SEEG	uV	0.3	250	1000	good
ch29	SEEG	uV	0.3	250	1000	good
ch30	SEEG	uV	0.3	250	1000	good
ch31	SEEG	uV	0.3	250	1000	good
ch32	SEEG	uV	0.3	250	1000	good
ch33	SEEG	uV	0.3	250	1000	good
ch34	SEEG	uV	0.3	250	1000	good
ch35	SEEG	uV	0.3	250	1000	good
ch36	SEEG	uV	0.3	250	1000	good
ch37	SEEG	uV	0.3	250	1000	good
ch38	SEEG	uV	0.3	250	1000	good
ch39	SEEG	uV	0.3	250	1000	good
ch40	SEEG	uV	0.3	250	1000	good
ch41	SEEG	uV	0.3	250	1000	good
ch42	SEEG	uV	0.3	250	1000	good
ch43	SEEG	uV	0.3	250	1000	good
ch44	SEEG	uV	0.3	250	1000	good
ch45	SEEG	uV	0.3	250	1000	good
ch46	SEEG	uV	0.3	250	1000	good
ch47	SEEG	uV	0.3	250	1000	good
ch48	SEEG	uV	0.3	250	1000	good
ch49	SEEG	uV	0.3	250	1000	good
ch50	SEEG	uV	0.3	250	1000	good
ch51	SEEG	uV	0.3	250	1000	good
ch52	SEEG	uV	0.3	250	1000	good
ch53	SEEG	uV	0.3	250	1000	good
ch54	SEEG	uV	0.3	250	1000	good
ch55	SEEG	uV	0.3	250	1000	good
ch56	SEEG	uV	0.3	250	1000	good
ch57	SEEG	uV	0.3	250	1000	good
ch58	SEEG	uV	0.3	250	1000	good
ch59	SEEG	uV	0.3	250	1000	good
ch60	SEEG	uV	0.3	250	1000	good
ch61	SEEG	uV	0.3	250	1000	good
ch62	SEEG	uV	0.3	250	1000	good
ch63	SEEG	uV	0.3	250	1000	good
ch64	SEEG	uV	0.3	250	1000	good
ch65	SEEG	uV	0.3	250	1000	good
ch66	SEEG	uV	0.3	250	1000	good
ch67	SEEG	uV	0.3	250	1000	good
ch68	SEEG	uV	0.3	250	1000	good
ch69	SEEG	uV	0.3	250	1000	good
ch70	SEEG	uV	0.3	250	1000	good
ch71	SEEG	uV	0.3	250	1000	good
ch72	SEEG	uV	0.3	250	1000	good
ch73	SEEG	uV	0.3	250	1000	good
ch74	SEEG	uV	0.3	250	1000	good
ch75	SEEG	uV	0.3	250	1000	good
ch76	SEEG	uV	0.3	250	1000	good
ch77	SEEG	uV	0.3	250	1000	good
ch78	SEEG	uV	0.3	250	1000	good
ch79	SEEG	uV	0.3	250	1000	good
ch80	SEEG	uV	0.3	250	1000	good
ch81	SEEG	uV	0.3	250	1000	good
ch82	SEEG	uV	0.3	250	1000	good
ch83	SEEG	uV	0.3	250	1000	good
ch84	SEEG	uV	0.3	250	1000	good
ch85	SEEG	uV	0.3	250	1000	good
ch86	SEEG	uV	0.3	250	1000	good
ch87	SEEG	uV	0.3	250	1000	good
ch88	SEEG	uV	0.3	250	1000	good
ch89	SEEG	uV	0.3	250	1000	good
ch90	SEEG	uV	0.3	250	1000	good
ch91	SEEG	uV	0.3	250	1000	good
ch92	SEEG	uV	0.3	250	1000	good
ch93	SEEG	uV	0.3	250	1000	good
ch94	SEEG	uV	0.3	250	1000	good
ch95	SEEG	uV	0.3	250	1000	good
ch96	SEEG	uV	0.3	250	1000	good
