name	x	y	z	size	depth_um	group	hemisphere	material
ch54	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch55	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch56	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch57	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch58	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch59	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch60	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch61	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch62	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch63	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch64	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch65	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch66	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch67	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch68	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch69	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch70	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch71	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch72	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch73	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch74	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch75	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch76	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch77	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch78	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch79	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch80	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch81	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch82	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch83	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch84	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch85	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch86	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch87	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch88	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch89	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch90	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch91	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch92	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch93	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch94	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch95	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch96	n/a	n/a	n/a	177	n/a	probe1	R	iridium
