name	x	y	z	size	depth_um	group	hemisphere	material
ch01	n/a	n/a	n/a	177	2400	probe1	R	iridium
ch02	n/a	n/a	n/a	177	1600	probe1	R	iridium
ch03	n/a	n/a	n/a	177	2500	probe1	R	iridium
ch04	n/a	n/a	n/a	177	1700	probe1	R	iridium
ch05	n/a	n/a	n/a	177	2600	probe1	R	iridium
ch06	n/a	n/a	n/a	177	1800	probe1	R	iridium
ch07	n/a	n/a	n/a	177	2700	probe1	R	iridium
ch08	n/a	n/a	n/a	177	1900	probe1	R	iridium
ch09	n/a	n/a	n/a	177	2800	probe1	R	iridium
ch10	n/a	n/a	n/a	177	2000	probe1	R	iridium
ch11	n/a	n/a	n/a	177	2900	probe1	R	iridium
ch12	n/a	n/a	n/a	177	2100	probe1	R	iridium
ch13	n/a	n/a	n/a	177	3000	probe1	R	iridium
ch14	n/a	n/a	n/a	177	2200	probe1	R	iridium
ch15	n/a	n/a	n/a	177	3100	probe1	R	iridium
ch16	n/a	n/a	n/a	177	2300	probe1	R	iridium
ch17	n/a	n/a	n/a	177	0	probe1	R	iridium
ch18	n/a	n/a	n/a	177	800	probe1	R	iridium
ch19	n/a	n/a	n/a	177	100	probe1	R	iridium
ch20	n/a	n/a	n/a	177	900	probe1	R	iridium
ch21	n/a	n/a	n/a	177	200	probe1	R	iridium
ch22	n/a	n/a	n/a	177	1000	probe1	R	iridium
ch23	n/a	n/a	n/a	177	300	probe1	R	iridium
ch24	n/a	n/a	n/a	177	1100	probe1	R	iridium
ch25	n/a	n/a	n/a	177	400	probe1	R	iridium
ch26	n/a	n/a	n/a	177	1200	probe1	R	iridium
ch27	n/a	n/a	n/a	177	500	probe1	R	iridium
ch28	n/a	n/a	n/a	177	1300	probe1	R	iridium
ch29	n/a	n/a	n/a	177	600	probe1	R	iridium
ch30	n/a	n/a	n/a	177	1400	probe1	R	iridium
ch31	n/a	n/a	n/a	177	700	probe1	R	iridium
ch32	n/a	n/a	n/a	177	1500	probe1	R	iridium
ch33	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch34	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch35	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch36	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch37	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch38	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch39	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch40	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch41	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch42	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch43	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch44	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch45	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch46	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch47	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch48	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch49	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch50	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch51	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch52	n/a	n/a	n/a	177	n/a	probe1	R	iridium
ch53	n/a	n/a	n/a	177	n/a	probe1	R	iridium
