onset	duration	trial_type	stim_site
33.1023	0.5	FUS_pulse	VPL
38.5826666666667	0.5	FUS_pulse	VPL
44.0614666666667	0.5	FUS_pulse	VPL
49.5445666666667	0.5	FUS_pulse	VPL
55.0242	0.5	FUS_pulse	VPL
60.5041666666667	0.5	FUS_pulse	VPL
65.9846666666667	0.5	FUS_pulse	VPL
71.4647333333333	0.5	FUS_pulse	VPL
76.9452333333333	0.5	FUS_pulse	VPL
82.4213333333333	0.5	FUS_pulse	VPL
87.8992333333333	0.5	FUS_pulse	VPL
93.3788666666667	0.5	FUS_pulse	VPL
98.8605666666667	0.5	FUS_pulse	VPL
104.3416	0.5	FUS_pulse	VPL
109.822166666667	0.5	FUS_pulse	VPL
115.302233333333	0.5	FUS_pulse	VPL
120.786133333333	0.5	FUS_pulse	VPL
126.270966666667	0.5	FUS_pulse	VPL
131.7474	0.5	FUS_pulse	VPL
137.224266666667	0.5	FUS_pulse	VPL
142.702533333333	0.5	FUS_pulse	VPL
148.1833	0.5	FUS_pulse	VPL
153.6626	0.5	FUS_pulse	VPL
159.139866666667	0.5	FUS_pulse	VPL
164.618266666667	0.5	FUS_pulse	VPL
170.0946	0.5	FUS_pulse	VPL
175.574333333333	0.5	FUS_pulse	VPL
181.0548	0.5	FUS_pulse	VPL
186.5377	0.5	FUS_pulse	VPL
192.015633333333	0.5	FUS_pulse	VPL
197.493233333333	0.5	FUS_pulse	VPL
202.973	0.5	FUS_pulse	VPL
208.453133333333	0.5	FUS_pulse	VPL
213.9327	0.5	FUS_pulse	VPL
219.415866666667	0.5	FUS_pulse	VPL
224.896366666667	0.5	FUS_pulse	VPL
230.377566666667	0.5	FUS_pulse	VPL
235.857233333333	0.5	FUS_pulse	VPL
241.3371	0.5	FUS_pulse	VPL
246.8238	0.5	FUS_pulse	VPL
252.304566666667	0.5	FUS_pulse	VPL
257.7854	0.5	FUS_pulse	VPL
263.268333333333	0.5	FUS_pulse	VPL
268.7481	0.5	FUS_pulse	VPL
274.2237	0.5	FUS_pulse	VPL
279.6969	0.5	FUS_pulse	VPL
285.1714	0.5	FUS_pulse	VPL
290.644666666667	0.5	FUS_pulse	VPL
296.117533333333	0.5	FUS_pulse	VPL
301.592633333333	0.5	FUS_pulse	VPL
