name	type	units	low_cutoff	high_cutoff	sampling_frequency	status
ch01	SEEG	uV	0.3	250	1000	good
ch02	SEEG	uV	0.3	250	1000	good
ch03	SEEG	uV	0.3	250	1000	good
ch04	SEEG	uV	0.3	250	1000	good
ch05	SEEG	uV	0.3	250	1000	good
ch06	SEEG	uV	0.3	250	1000	good
ch07	SEEG	uV	0.3	250	1000	good
ch08	SEEG	uV	0.3	250	1000	good
ch09	SEEG	uV	0.3	250	1000	good
ch10	SEEG	uV	0.3	250	1000	good
ch11	SEEG	uV	0.3	250	1000	good
ch12	SEEG	uV	0.3	250	1000	good
ch13	SEEG	uV	0.3	250	1000	good
ch14	SEEG	uV	0.3	250	1000	good
ch15	SEEG	uV	0.3	250	1000	good
ch16	SEEG	uV	0.3	250	1000	good
ch17	SEEG	uV	0.3	250	1000	good
ch18	SEEG	uV	0.3	250	1000	good
ch19	SEEG	uV	0.3	250	1000	good
ch20	SEEG	uV	0.3	250	1000	good
ch21	SEEG	uV	0.3	250	1000	good
ch22	SEEG	uV	0.3	250	1000	good
ch23	SEEG	uV	0.3	250	1000	good
ch24	SEEG	uV	0.3	250	1000	good
ch25	SEEG	uV	0.3	250	1000	good
ch26	SEEG	uV	0.3	250	1000	good
ch27	SEEG	uV	0.3	250	1000	good
ch28	SEEG	uV	0.3	250	1000	good
ch29	SEEG	uV	0.3	250	1000	good
ch30	SEEG	uV	0.3	250	1000	good
ch31	SEEG	uV	0.3	250	1000	good
ch32	SEEG	uV	0.3	250	1000	good
